t,plant,axis,Total_transpiration
738,1,MS,0.007556283706201818
739,1,MS,0.007556283706201818
740,1,MS,0.003632752951325081
741,1,MS,0.003632752951325081
742,1,MS,0.0032500182860936153
743,1,MS,0.0032500182860936153
744,1,MS,0.0011114375674413967
745,1,MS,0.0011114375674413967
746,1,MS,0.0009649410941464063
747,1,MS,0.0009649410941464063
748,1,MS,0.0011379881039485134
749,1,MS,0.0011379881039485134
750,1,MS,0.008881826301690704
751,1,MS,0.008881826301690704
752,1,MS,0.02002074093521173
753,1,MS,0.02002074093521173
754,1,MS,0.025029814318811114
755,1,MS,0.025029814318811114
756,1,MS,0.02664064448948989
757,1,MS,0.02664064448948989
758,1,MS,0.025053662045160244
759,1,MS,0.025053662045160244
760,1,MS,0.01841288701128516
761,1,MS,0.01841288701128516
762,1,MS,0.008870144701929792
763,1,MS,0.008870144701929792
764,1,MS,0.0045533147896492585
765,1,MS,0.0045533147896492585
766,1,MS,0.0021763350767743405
767,1,MS,0.0021763350767743405
768,1,MS,0.0009090197015512621
769,1,MS,0.0009090197015512621
770,1,MS,0.0007152287469540167
771,1,MS,0.0007152287469540167
772,1,MS,0.0010519477279396093
773,1,MS,0.0010519477279396093
774,1,MS,0.006176433317679915
775,1,MS,0.006176433317679915
776,1,MS,0.014249408279970352
777,1,MS,0.014249408279970352
778,1,MS,0.024256381107129136
779,1,MS,0.024256381107129136
780,1,MS,0.024681702673455434
781,1,MS,0.024681702673455434
782,1,MS,0.028755997143256867
783,1,MS,0.028755997143256867
784,1,MS,0.025566740500771422
785,1,MS,0.025566740500771422
786,1,MS,0.01573104680232981
787,1,MS,0.01573104680232981
788,1,MS,0.0038419542140943623
789,1,MS,0.0038419542140943623
790,1,MS,0.004772602677074199
791,1,MS,0.004772602677074199
792,1,MS,0.0009407290878316219
793,1,MS,0.0009407290878316219
794,1,MS,0.001323310641859652
795,1,MS,0.001323310641859652
796,1,MS,0.001383159595669495
797,1,MS,0.001383159595669495
798,1,MS,0.0037981128357512423
799,1,MS,0.0037981128357512423
800,1,MS,0.005485666789735482
801,1,MS,0.005485666789735482
802,1,MS,0.008138469870026449
803,1,MS,0.008138469870026449
804,1,MS,0.010755989240656766
805,1,MS,0.010755989240656766
806,1,MS,0.010411103150040603
807,1,MS,0.010411103150040603
808,1,MS,0.009673066160990255
809,1,MS,0.009673066160990255
810,1,MS,0.004922085323292086
811,1,MS,0.004922085323292086
812,1,MS,0.002035147946679858
813,1,MS,0.002035147946679858
814,1,MS,0.0011987340919412846
815,1,MS,0.0011987340919412846
816,1,MS,0.0004350436522186377
817,1,MS,0.0004350436522186377
818,1,MS,0.00045827165876755467
819,1,MS,0.00045827165876755467
820,1,MS,0.0005924737917869285
821,1,MS,0.0005924737917869285
822,1,MS,0.0042620683271240335
823,1,MS,0.0042620683271240335
824,1,MS,0.009997463387316993
825,1,MS,0.009997463387316993
826,1,MS,0.015448748051492241
827,1,MS,0.015448748051492241
828,1,MS,0.01828699050485662
829,1,MS,0.01828699050485662
830,1,MS,0.019146412071047482
831,1,MS,0.019146412071047482
832,1,MS,0.01601428317199725
833,1,MS,0.01601428317199725
834,1,MS,0.00755551324733147
835,1,MS,0.00755551324733147
836,1,MS,0.0017358207825111007
837,1,MS,0.0017358207825111007
838,1,MS,0.0011932458890402315
839,1,MS,0.0011932458890402315
840,1,MS,0.00031788537537396933
841,1,MS,0.00031788537537396933
842,1,MS,0.0005983976666930879
843,1,MS,0.0005983976666930879
844,1,MS,0.0003571237621799917
845,1,MS,0.0003571237621799917
846,1,MS,0.001607583092879366
