ID,plant,leaf,xn,ph_em,Ln,Lgn,Len,L,Lg,Le
554,1,11,1.511165402,2.033127001,0.992849847,0.369765066,0.220472441,48.6,18.1,2.8
565,1,11,1.774149017,2.296110616,1.005107252,0.386108274,0.456692913,49.2,18.9,5.8
574,1,11,2.03251061,2.554472209,0.992849847,0.375893769,0.826771654,48.6,18.4,10.5
584,1,11,2.518954836,3.040916435,0.980592441,0.367722165,0.976377953,48,18,12.4
595,1,11,2.808350005,3.330311604,0.8886619,0.351378958,1.039370079,43.5,17.2,13.2
604,1,11,3.127741153,3.649702752,1.064351379,0.37793667,0.937007874,52.1,18.5,11.9
619,1,11,3.572398528,4.094360126,0.990806946,0.382022472,1.086614173,48.5,18.7,13.8
624,1,11,3.856322732,4.378284331,1.00102145,0.373850868,0.897637795,49,18.3,11.4
633,1,11,4.444357114,4.966318712,1.074565884,0.388151175,0.960629921,52.6,19,12.2
644,1,11,4.732714686,5.254676284,0.946884576,0.384065373,1.157480315,46.35,18.8,14.7
653,1,11,4.990604644,5.512566242,1.029622063,0.398365679,0.984251969,50.4,19.5,12.5
663,1,11,5.557698436,6.079660035,1.031664964,0.382022472,0.94488189,50.5,18.7,12
683,1,11,6.865636315,7.387597913,1.045965271,0.384065373,0.992125984,51.2,18.8,12.6
694,1,11,7.317556867,7.839518465,1.005107252,0.382022472,0.897637795,49.2,18.7,11.4
701,1,11,7.653738217,8.175699815,1.017364658,0.386108274,0.921259843,49.8,18.9,11.7
120,2,3,0.045453149,-0.221748811,0.456905504,NA,NA,5.5,NA,NA
219,2,3,0.101483374,-0.165718586,0.249221184,NA,NA,3,NA,NA
320,2,3,0.189113136,-0.078088823,0.398753894,NA,NA,4.8,NA,NA
420,2,3,0.483790616,0.216588656,0.656282451,0.024922118,NA,7.9,0.3,NA
520,2,3,0.697346894,0.430144935,0.755970924,0.05815161,NA,9.1,0.7,NA
620,2,3,0.900338551,0.633136591,0.747663551,0.041536864,NA,9,0.5,NA
77,2,3,0.942880018,0.675678059,0.805815161,0.099688474,NA,9.7,1.2,NA
88,2,3,1.207184211,0.939982251,0.92211838,0.215991693,NA,11.1,2.6,NA
98,2,3,1.387065758,1.119863799,1.096573209,0.257528557,NA,13.2,3.1,NA
108,2,3,1.634957057,1.367755097,1.07165109,0.307372793,NA,12.9,3.7,NA
1113,2,3,1.799085999,1.531884039,1.163032191,0.299065421,NA,14,3.6,NA
129,2,3,1.938029637,1.670827678,1.021806854,0.290758048,NA,12.3,3.5,NA
139,2,3,2.044147488,1.776945528,1.138110073,0.290758048,NA,13.7,3.5,NA
149,2,3,2.087349244,1.820147284,1.229491173,0.340602285,NA,14.8,4.1,NA
159,2,3,2.27911599,2.011914031,1.063343718,0.282450675,NA,12.8,3.4,NA
169,2,3,2.385045187,2.117843227,1.088265836,0.274143302,NA,13.1,3.3,NA
