t,DOY,hour,air_temperature,PARi,soil_temperature,humidity,ambient_CO2,Wind
410,3,14,9.8,235.6666667,7.32,0.7,360,6.6
411,3,15,9.3,246.8888889,7.12,0.7,360,6.6
412,3,16,8.8,145.8888889,6.895,0.71,360,6.6
413,3,17,7.4,0,6.5675,0.8,360,6.6
414,3,18,7.4,0,6.1745,0.8,360,6.6
415,3,19,7.6,0,5.9965,0.79,360,6.6
416,3,20,7.2,0,5.9835,0.87,360,6.6
417,3,21,7.3,0,6.056,0.91,360,6.6
418,3,22,7.5,0,6.1365,0.9,360,6.6
419,3,23,7.8,0,6.234,0.91,360,6.6
420,3,24,8.1,0,6.355,0.93,360,6
421,4,1,8.8,0,6.525,0.96,360,6
422,4,2,9.5,0,6.7965,0.96,360,6
423,4,3,10.5,0,7.145,0.97,360,6
424,4,4,11.8,0,7.535,0.96,360,6
425,4,5,12.1,0,8,0.94,360,6
426,4,6,11.9,0,8.455,0.95,360,6
427,4,7,11.9,0,8.71,0.94,360,6
428,4,8,12.1,0,8.885,0.94,360,6
429,4,9,12.4,67.33333333,9.035,0.91,360,6
430,4,10,12.4,157.1111111,9.27,0.92,360,6
431,4,11,12.9,134.6666667,9.58,0.91,360,6
432,4,12,13.3,213.2222222,9.86,0.9,360,6
433,4,13,13.5,303,10.205,0.89,360,6
434,4,14,13.4,168.3333333,10.515,0.89,360,6
435,4,15,13.3,78.55555556,10.595,0.9,360,6
436,4,16,12.6,22.44444444,10.58,0.92,360,6
437,4,17,12.7,0,10.48,0.93,360,6
438,4,18,12.5,0,10.38,0.93,360,6
439,4,19,12.6,0,10.27,0.92,360,6
440,4,20,12.6,0,10.27,0.91,360,6
441,4,21,12.5,0,10.29,0.92,360,6
442,4,22,12.5,0,10.275,0.92,360,6
443,4,23,12.4,0,10.245,0.93,360,6
444,4,24,12.2,0,10.19,0.93,360,2.8
445,5,1,12.2,0,10.205,0.91,360,2.8
446,5,2,10.9,0,10.175,0.91,360,2.8
447,5,3,10.4,0,9.845,0.91,360,2.8
